description,amount,is_recurring,source,month,account_type,debit_credit
software subscription expense reference 27206,137514.76,0,PDF,11,expense,credit
purchase of office laptop reference 83542,380889.34,0,CSV,4,asset,debit
short term borrowing reference 97843,38417.08,1,CSV,6,liability,credit
capital introduced by shareholder reference 33559,50787.19,0,Manual,7,equity,credit
customer invoice settlement reference 85892,313104.04,0,CSV,3,revenue,credit
purchase of machinery reference 61996,1512.73,0,Bank,10,asset,debit
customer invoice settlement reference 76524,119773.27,0,Bank,4,revenue,credit
monthly office rent reference 45193,345402.47,0,Manual,6,expense,debit
purchase of computer equipment reference 89616,441694.79,0,Excel,8,asset,debit
prepaid insurance reference 24240,237038.95,0,Bank,11,asset,debit
gst payable recorded reference 35303,191195.37,1,Bank,12,liability,credit
gst payable recorded reference 60887,299338.04,0,Manual,4,liability,credit
accounts payable recorded reference 96142,42425.14,0,CSV,5,liability,credit
shareholder contribution reference 43035,284487.86,0,Manual,11,equity,credit
product sales receipt reference 29605,433487.61,0,CSV,12,revenue,credit
sales collection reference 96610,191268.48,0,Excel,7,revenue,credit
product sales receipt reference 31747,284821.42,0,PDF,11,revenue,credit
tax payable recorded reference 39049,98272.65,1,CSV,6,liability,debit
employee salary payment reference 90177,47263.89,0,CSV,8,expense,credit
service revenue received reference 10710,13064.06,0,Excel,8,revenue,credit
accounts receivable created reference 30354,496315.81,0,Excel,4,asset,debit
supplier payable created reference 21957,404197.28,0,Manual,9,liability,credit
business travel expense reference 23829,253043.34,1,PDF,8,expense,debit
office supplies purchase reference 37375,289680.71,0,CSV,8,expense,debit
client payment for consulting services reference 97750,273849.88,0,PDF,4,revenue,credit
purchase of office laptop reference 34350,210437.37,0,Manual,9,asset,debit
client payment for consulting services reference 62903,116660.23,1,Bank,10,revenue,credit
loan repayment liability reference 90607,271547.23,0,CSV,3,liability,debit
inventory purchase for stock reference 86938,466476.58,1,Manual,11,asset,debit
customer invoice settlement reference 52003,180628.44,1,Manual,3,revenue,credit
owner capital introduced reference 41625,375287.18,0,PDF,4,equity,credit
courier and postage expense reference 78470,484427.84,0,Excel,2,expense,credit
monthly office rent reference 46024,490383.69,0,CSV,2,expense,debit
shareholder contribution reference 80802,494181.48,0,Manual,7,equity,credit
loan repayment liability reference 58432,193834.73,0,Excel,11,liability,credit
office electricity bill reference 72851,461608.1,0,Bank,2,expense,debit
consulting income received reference 54894,144602.06,1,Manual,11,revenue,credit
subscription revenue reference 57776,124579.0,0,CSV,2,revenue,debit
retained earnings transfer reference 35673,191621.07,0,Excel,10,equity,credit
accounts receivable created reference 11474,103075.49,0,CSV,5,asset,debit
subscription revenue reference 83471,358669.95,0,CSV,5,revenue,credit
owner investment into business reference 78117,464693.45,0,Manual,7,equity,credit
product sales receipt reference 81090,32696.49,0,CSV,3,revenue,debit
client payment for consulting services reference 55518,368418.26,0,Excel,3,revenue,credit
employee salary payment reference 35296,325453.81,0,PDF,12,expense,debit
owner capital introduced reference 56037,336960.89,0,CSV,8,equity,credit
consulting income received reference 59861,306872.94,0,Excel,5,revenue,credit
insurance expense reference 79612,156514.29,0,Excel,4,expense,debit
product sales receipt reference 16247,361843.05,0,Bank,8,revenue,credit
software subscription expense reference 74437,10700.66,0,CSV,6,expense,credit
owner capital introduced reference 52189,380153.89,0,PDF,7,equity,credit
business loan received reference 57474,227334.38,0,Excel,12,liability,credit
shareholder contribution reference 20863,159252.9,0,PDF,8,equity,credit
tax payable recorded reference 72762,313302.32,0,Bank,11,liability,credit
purchase of computer equipment reference 46756,306040.7,0,Bank,4,asset,debit
tax payable recorded reference 58911,30872.21,0,CSV,7,liability,credit
additional equity contribution reference 10294,321256.5,0,Excel,10,equity,credit
accounts payable recorded reference 65799,203763.73,0,Excel,7,liability,credit
purchase of office laptop reference 70488,438131.12,0,CSV,5,asset,credit
capital introduced by shareholder reference 14602,418444.0,0,Manual,5,equity,credit
accounts payable recorded reference 61825,226199.77,1,CSV,8,liability,credit
purchase of computer equipment reference 58689,24215.78,0,Bank,6,asset,debit
subscription revenue reference 59696,250632.69,0,PDF,8,revenue,debit
professional fees reference 99828,466647.81,0,Excel,2,expense,debit
purchase of computer equipment reference 54120,159708.36,1,Excel,3,asset,debit
share capital contribution reference 87837,498488.4,0,Manual,10,equity,credit
insurance expense reference 75388,157435.92,0,Manual,1,expense,debit
subscription revenue reference 55330,195165.89,0,PDF,7,revenue,credit
gst payable recorded reference 33992,89489.79,0,CSV,12,liability,credit
customer invoice settlement reference 49804,69248.58,1,CSV,3,revenue,credit
business travel expense reference 26675,441600.57,0,PDF,9,expense,debit
additional equity contribution reference 36949,340781.08,0,Bank,11,equity,credit
retained earnings transfer reference 10535,337015.16,0,Bank,2,equity,credit
shareholder contribution reference 87009,489821.22,1,Manual,12,equity,credit
prepaid insurance reference 70585,346454.95,1,CSV,3,asset,debit
prepaid insurance reference 90955,198321.39,0,CSV,11,asset,debit
consulting income received reference 15971,58682.07,0,Bank,8,revenue,debit
loan repayment liability reference 90999,42778.53,0,Bank,9,liability,credit
retained earnings transfer reference 93296,70968.74,0,Excel,11,equity,credit
courier and postage expense reference 98375,218309.58,1,Bank,5,expense,debit
inventory purchase for stock reference 84539,60791.86,1,CSV,12,asset,debit
additional equity contribution reference 83944,20867.15,1,CSV,8,equity,credit
purchase of office laptop reference 81355,403658.18,1,PDF,2,asset,debit
accounts payable recorded reference 26387,339486.81,0,PDF,4,liability,credit
purchase of computer equipment reference 37131,334607.38,0,CSV,1,asset,debit
capital introduced by shareholder reference 35828,126267.95,0,Manual,3,equity,debit
subscription revenue reference 37775,498825.47,0,CSV,8,revenue,debit
maintenance and repair expense reference 44954,6053.3,0,Manual,12,expense,debit
purchase of computer equipment reference 37782,320372.46,0,CSV,12,asset,debit
office furniture purchase reference 69352,162905.51,1,Excel,3,asset,debit
marketing campaign expense reference 75898,258883.51,1,PDF,7,expense,debit
employee salary payment reference 82253,20977.39,0,CSV,12,expense,debit
subscription revenue reference 73179,324150.27,0,PDF,4,revenue,credit
share capital contribution reference 75739,334586.04,0,Manual,7,equity,credit
software subscription expense reference 40230,355314.61,0,PDF,10,expense,debit
retained earnings transfer reference 49858,288481.11,0,PDF,6,equity,credit
purchase of computer equipment reference 69716,455208.02,0,Manual,10,asset,debit
capital introduced by shareholder reference 27095,119313.6,0,CSV,11,equity,credit
purchase of office laptop reference 92380,89828.49,0,Manual,11,asset,debit
sales collection reference 15322,479007.23,0,CSV,5,revenue,debit
short term borrowing reference 17453,259069.49,0,Excel,6,liability,credit
tax payable recorded reference 24621,158014.87,0,Bank,11,liability,credit
prepaid insurance reference 78812,215388.48,0,Manual,8,asset,debit
customer invoice settlement reference 82117,437984.37,0,Manual,7,revenue,credit
maintenance and repair expense reference 41770,67653.76,1,CSV,5,expense,debit
professional fees reference 41448,130372.69,0,Excel,6,expense,credit
salary payable recorded reference 51520,423023.33,0,CSV,2,liability,credit
salary payable recorded reference 69030,326855.86,0,Manual,4,liability,credit
office supplies purchase reference 43138,254558.27,0,CSV,7,expense,debit
accounts receivable created reference 57416,242703.19,0,CSV,10,asset,credit
vehicle purchase for business reference 38013,127240.93,0,PDF,9,asset,debit
office supplies purchase reference 80699,24160.2,0,Manual,1,expense,credit
shareholder contribution reference 64486,414054.27,0,PDF,4,equity,credit
owner withdrawal against equity reference 11697,408762.16,0,Bank,7,equity,credit
owner withdrawal against equity reference 56661,449673.9,0,CSV,1,equity,debit
customer invoice settlement reference 45323,461988.25,0,Manual,1,revenue,credit
security deposit paid reference 63428,105158.62,0,PDF,11,asset,debit
security deposit paid reference 45165,429526.73,0,Bank,9,asset,debit
salary payable recorded reference 69497,71225.63,0,CSV,5,liability,credit
additional equity contribution reference 75345,11707.99,0,PDF,1,equity,credit
owner withdrawal against equity reference 11135,5751.88,0,Manual,9,equity,credit
consulting income received reference 50386,342233.89,0,Bank,4,revenue,debit
security deposit paid reference 93954,8282.24,0,PDF,5,asset,debit
courier and postage expense reference 41414,196430.87,0,Excel,9,expense,debit
salary payable recorded reference 46798,305363.28,0,Excel,8,liability,credit
purchase of office laptop reference 25201,259040.29,0,CSV,6,asset,credit
service revenue received reference 64738,9316.11,0,Manual,1,revenue,credit
marketing campaign expense reference 10943,382436.92,1,Bank,2,expense,debit
owner withdrawal against equity reference 31622,288900.74,0,CSV,9,equity,credit
customer invoice settlement reference 76955,490707.0,0,Bank,10,revenue,credit
sales revenue from customer invoice reference 16028,175124.16,0,Excel,3,revenue,credit
professional fees reference 70640,16237.59,0,Excel,2,expense,debit
owner investment into business reference 65541,371080.94,0,Manual,8,equity,credit
customer invoice settlement reference 16767,340535.67,0,Bank,3,revenue,credit
owner withdrawal against equity reference 26833,444919.17,0,CSV,8,equity,credit
supplier payable created reference 85139,256452.88,0,Manual,1,liability,credit
tax payable recorded reference 63925,84178.95,0,Manual,12,liability,credit
employee salary payment reference 15088,259032.63,0,CSV,2,expense,debit
sales revenue from customer invoice reference 96965,378268.96,0,Manual,6,revenue,credit
courier and postage expense reference 46844,41705.84,0,PDF,8,expense,debit
prepaid insurance reference 98384,389667.15,0,Bank,7,asset,debit
capital introduced by shareholder reference 30829,284935.23,0,Bank,2,equity,credit
owner investment into business reference 10911,438962.89,0,Bank,4,equity,debit
loan repayment liability reference 65847,170278.08,0,Manual,9,liability,credit
sales revenue from customer invoice reference 86473,400577.14,1,Excel,9,revenue,credit
short term borrowing reference 74255,302340.01,1,Bank,10,liability,credit
customer invoice settlement reference 92859,171022.84,1,Manual,5,revenue,credit
tax payable recorded reference 87671,230465.83,1,Bank,8,liability,credit
office electricity bill reference 20031,496743.89,0,CSV,5,expense,debit
retained earnings transfer reference 27006,440046.74,0,Bank,1,equity,credit
professional fees reference 55983,386796.7,0,CSV,11,expense,credit
accounts receivable created reference 84361,490396.12,0,Bank,5,asset,debit
additional equity contribution reference 17266,38236.03,0,Bank,2,equity,credit
security deposit paid reference 90708,489021.22,0,PDF,9,asset,debit
client payment for consulting services reference 69394,300047.83,0,PDF,12,revenue,credit
business travel expense reference 44958,67679.85,0,Manual,5,expense,debit
office furniture purchase reference 67462,439545.21,0,CSV,4,asset,debit
accounts receivable created reference 45978,419808.86,0,Bank,4,asset,debit
equipment acquisition reference 11425,430144.95,0,Manual,1,asset,debit
consulting income received reference 30760,56135.85,0,PDF,2,revenue,credit
equipment acquisition reference 22114,356388.53,0,Bank,6,asset,debit
office furniture purchase reference 37282,157324.63,0,Manual,3,asset,debit
business loan received reference 11374,441521.08,0,PDF,2,liability,credit
capital introduced by shareholder reference 16182,251639.18,0,Bank,1,equity,credit
purchase of machinery reference 42325,185599.87,0,PDF,6,asset,debit
shareholder contribution reference 63789,251876.43,1,Manual,1,equity,credit
subscription revenue reference 99842,239516.97,0,PDF,11,revenue,credit
accounts receivable created reference 29844,480604.82,0,Excel,12,asset,debit
client payment for consulting services reference 62943,1737.73,0,Excel,8,revenue,credit
office supplies purchase reference 67322,184790.42,0,Excel,9,expense,debit
customer invoice settlement reference 32919,377783.33,0,CSV,1,revenue,credit
accounts payable recorded reference 49509,380966.38,1,Excel,6,liability,credit
salary payable recorded reference 96540,184712.19,0,PDF,4,liability,debit
maintenance and repair expense reference 10510,314490.75,0,CSV,10,expense,credit
sales collection reference 77204,236283.45,0,Manual,7,revenue,credit
accounts payable recorded reference 72946,128084.25,1,Manual,7,liability,credit
service revenue received reference 74300,235134.24,0,Excel,11,revenue,credit
purchase of machinery reference 44389,244271.47,1,PDF,11,asset,debit
office supplies purchase reference 91811,359743.55,1,Bank,8,expense,debit
office supplies purchase reference 86662,81437.3,0,Manual,1,expense,debit
product sales receipt reference 56923,240331.16,0,CSV,6,revenue,credit
tax payable recorded reference 89412,475917.99,0,CSV,6,liability,credit
product sales receipt reference 36256,173674.53,0,Excel,2,revenue,credit
product sales receipt reference 15757,368861.49,1,Bank,2,revenue,credit
professional fees reference 78664,14781.8,0,CSV,12,expense,debit
purchase of computer equipment reference 52753,442962.07,0,Excel,2,asset,debit
equipment acquisition reference 40342,441167.43,0,CSV,7,asset,debit
office furniture purchase reference 68910,152567.84,0,CSV,6,asset,debit
share capital contribution reference 47605,72740.35,0,Excel,10,equity,credit
business loan received reference 98132,377431.51,0,PDF,11,liability,credit
share capital contribution reference 45720,415799.63,0,Bank,2,equity,credit
purchase of office laptop reference 86975,475208.44,1,CSV,3,asset,credit
accounts payable recorded reference 56993,337593.92,0,Excel,6,liability,credit
client payment for consulting services reference 34665,496195.4,0,PDF,1,revenue,credit
short term borrowing reference 42117,284796.35,0,PDF,10,liability,credit
purchase of machinery reference 30357,450326.99,0,PDF,5,asset,debit
owner capital introduced reference 14650,296417.49,0,CSV,1,equity,credit
subscription revenue reference 59252,459412.84,0,PDF,4,revenue,credit
inventory purchase for stock reference 58504,406988.32,0,Excel,12,asset,debit
owner withdrawal against equity reference 64488,221262.18,1,Bank,1,equity,credit
software subscription expense reference 25771,151993.21,0,PDF,6,expense,debit
employee salary payment reference 16908,104740.2,0,Excel,2,expense,debit
additional equity contribution reference 38479,230547.83,0,Manual,9,equity,credit
inventory purchase for stock reference 98989,480190.86,0,CSV,1,asset,debit
professional fees reference 11151,499739.07,0,PDF,6,expense,debit
salary payable recorded reference 89426,20518.66,1,Excel,9,liability,credit
sales collection reference 62513,495703.33,0,CSV,4,revenue,credit
purchase of computer equipment reference 65513,115036.82,0,Excel,11,asset,debit
professional fees reference 76322,251520.69,1,Excel,1,expense,debit
sales revenue from customer invoice reference 70216,217759.25,0,Bank,9,revenue,credit
supplier payable created reference 68620,472536.61,0,Excel,11,liability,credit
salary payable recorded reference 56732,171371.55,0,Manual,1,liability,credit
short term borrowing reference 96195,349979.74,0,Bank,4,liability,debit
service revenue received reference 30799,308218.94,0,Excel,4,revenue,credit
short term borrowing reference 85174,234624.15,0,Bank,2,liability,credit
security deposit paid reference 72487,80915.07,0,Excel,2,asset,debit
retained earnings transfer reference 18579,241156.99,0,PDF,8,equity,credit
vendor credit purchase reference 23295,131861.79,0,CSV,5,liability,credit
employee salary payment reference 91473,394193.18,0,Excel,11,expense,credit
product sales receipt reference 65770,467411.2,0,Bank,11,revenue,credit
loan repayment liability reference 90474,38362.55,0,Excel,3,liability,credit
service revenue received reference 19505,99303.32,0,PDF,6,revenue,credit
salary payable recorded reference 58561,46885.42,0,Bank,2,liability,credit
tax payable recorded reference 57639,424568.27,1,PDF,5,liability,credit
purchase of machinery reference 91747,40310.96,0,Manual,10,asset,debit
office furniture purchase reference 19688,489691.8,1,Excel,12,asset,debit
sales collection reference 60563,360031.38,0,PDF,11,revenue,credit
purchase of office laptop reference 13840,440353.72,0,CSV,11,asset,debit
vendor credit purchase reference 77344,436706.04,0,PDF,1,liability,credit
retained earnings transfer reference 17314,404405.98,0,PDF,8,equity,debit
short term borrowing reference 94486,307401.83,0,Excel,1,liability,credit
sales collection reference 51633,210172.8,1,CSV,2,revenue,credit
loan repayment liability reference 52824,98095.53,0,Excel,6,liability,credit
consulting income received reference 65932,281697.45,0,PDF,12,revenue,credit
software subscription expense reference 77308,265760.15,0,CSV,8,expense,debit
capital introduced by shareholder reference 76742,233866.33,0,Bank,7,equity,credit
purchase of office laptop reference 57485,469378.37,1,Excel,1,asset,debit
share capital contribution reference 94874,24897.72,1,PDF,7,equity,credit
owner capital introduced reference 34847,17415.27,0,Manual,5,equity,credit
software subscription expense reference 26692,476995.49,0,Manual,8,expense,debit
additional equity contribution reference 81271,125377.75,0,Manual,10,equity,credit
professional fees reference 88239,88485.76,0,Bank,2,expense,debit
supplier payable created reference 74479,437345.07,0,Bank,2,liability,credit
software subscription expense reference 17921,311708.62,0,Bank,2,expense,debit
owner withdrawal against equity reference 74274,276978.41,0,Bank,2,equity,credit
supplier payable created reference 63818,360296.27,0,CSV,7,liability,credit
courier and postage expense reference 70549,359127.97,0,Excel,5,expense,debit
loan repayment liability reference 45385,30278.11,0,Bank,8,liability,credit
internet and telecom bill reference 99956,87236.66,0,Bank,3,expense,debit
purchase of machinery reference 84329,495296.2,0,CSV,2,asset,debit
service revenue received reference 97362,275386.59,1,Bank,11,revenue,credit
salary payable recorded reference 87505,24759.4,0,Excel,3,liability,credit
purchase of office laptop reference 80824,309064.43,0,Excel,6,asset,debit
security deposit paid reference 47536,130605.28,1,CSV,4,asset,debit
retained earnings transfer reference 67942,468790.4,0,PDF,10,equity,credit
marketing campaign expense reference 63350,227163.73,0,Excel,10,expense,credit
marketing campaign expense reference 28930,367887.01,0,PDF,5,expense,debit
prepaid insurance reference 30392,247822.86,0,Excel,9,asset,debit
courier and postage expense reference 60997,206042.14,0,PDF,3,expense,debit
owner withdrawal against equity reference 24265,219025.05,0,PDF,11,equity,credit
consulting income received reference 92470,240714.76,0,Excel,7,revenue,credit
office electricity bill reference 12391,244521.32,0,Excel,12,expense,debit
purchase of office laptop reference 54367,125142.65,0,PDF,12,asset,debit
gst payable recorded reference 74188,152523.02,0,Bank,3,liability,credit
owner withdrawal against equity reference 59114,43635.46,1,PDF,4,equity,credit
owner capital introduced reference 75947,40405.66,1,PDF,5,equity,credit
accounts payable recorded reference 15017,14870.92,0,PDF,1,liability,credit
prepaid insurance reference 59938,321711.59,0,CSV,3,asset,debit
vehicle purchase for business reference 91585,245970.02,1,Bank,9,asset,debit
owner investment into business reference 49759,379813.43,0,Excel,1,equity,credit
subscription revenue reference 28091,380267.75,0,CSV,8,revenue,credit
owner investment into business reference 60186,470725.53,0,CSV,9,equity,credit
gst payable recorded reference 58406,491025.77,1,PDF,10,liability,credit
loan repayment liability reference 14211,495090.61,1,Manual,5,liability,credit
supplier payable created reference 28319,43762.47,1,Manual,12,liability,credit
supplier payable created reference 11730,298478.95,0,PDF,6,liability,credit
salary payable recorded reference 12524,321123.62,0,Manual,10,liability,credit
customer invoice settlement reference 25701,290884.98,0,CSV,1,revenue,debit
owner capital introduced reference 86894,197038.2,0,Bank,7,equity,credit
supplier payable created reference 83482,422405.76,0,CSV,4,liability,credit
product sales receipt reference 47077,232818.41,1,PDF,10,revenue,credit
purchase of office laptop reference 66742,360402.73,0,Excel,3,asset,credit
customer invoice settlement reference 22934,346701.17,1,PDF,7,revenue,debit
vehicle purchase for business reference 39969,336371.85,0,Excel,4,asset,debit
short term borrowing reference 93525,404779.28,1,Manual,9,liability,credit
capital introduced by shareholder reference 62723,237230.74,1,PDF,5,equity,credit
gst payable recorded reference 23492,360049.49,0,CSV,4,liability,credit
office electricity bill reference 91855,459242.33,0,PDF,12,expense,debit
service revenue received reference 50548,82770.72,0,Excel,7,revenue,credit
employee salary payment reference 90758,404128.65,0,Manual,4,expense,debit
business loan received reference 28750,153130.21,1,PDF,12,liability,credit
software subscription expense reference 33251,414043.04,0,Bank,12,expense,debit
sales revenue from customer invoice reference 27439,92899.06,0,CSV,1,revenue,credit
marketing campaign expense reference 36870,496753.31,0,Excel,7,expense,debit
owner withdrawal against equity reference 47703,397469.97,0,Manual,6,equity,debit
consulting income received reference 47107,1463.89,0,Bank,1,revenue,credit
owner investment into business reference 36478,75255.11,0,Excel,1,equity,credit
supplier payable created reference 27076,128186.48,0,CSV,7,liability,credit
purchase of office laptop reference 46199,288947.86,0,Excel,11,asset,debit
short term borrowing reference 44699,288928.92,0,Manual,12,liability,credit
shareholder contribution reference 22717,59371.92,0,CSV,7,equity,credit
gst payable recorded reference 21834,54017.73,1,Excel,9,liability,credit
marketing campaign expense reference 37405,470759.7,0,Excel,12,expense,debit
supplier payable created reference 72234,413562.38,0,Excel,2,liability,credit
owner investment into business reference 74966,132813.41,0,PDF,5,equity,credit
owner capital introduced reference 58213,430777.05,0,Excel,6,equity,credit
purchase of office laptop reference 45512,199059.94,1,Manual,1,asset,debit
additional equity contribution reference 98706,101446.75,1,CSV,4,equity,credit
monthly office rent reference 83028,27668.79,0,Manual,3,expense,debit
office supplies purchase reference 29082,446390.55,0,Bank,12,expense,debit
sales revenue from customer invoice reference 12782,457532.22,0,PDF,9,revenue,credit
customer invoice settlement reference 44113,213998.26,0,Excel,2,revenue,credit
business loan received reference 23126,499049.96,0,Manual,12,liability,credit
service revenue received reference 24470,38898.69,1,PDF,12,revenue,credit
inventory purchase for stock reference 42011,337745.56,0,Excel,5,asset,debit
internet and telecom bill reference 73679,127483.37,0,CSV,8,expense,debit
office supplies purchase reference 88837,462749.47,1,Bank,3,expense,debit
service revenue received reference 32073,355267.48,0,Excel,11,revenue,credit
owner withdrawal against equity reference 98336,236531.2,1,Manual,4,equity,credit
monthly office rent reference 82710,255537.03,0,CSV,12,expense,debit
professional fees reference 32440,410510.27,1,Excel,5,expense,debit
accounts payable recorded reference 52343,69859.51,0,Bank,12,liability,credit
employee salary payment reference 68850,74473.82,0,Manual,1,expense,debit
owner investment into business reference 59312,434310.87,0,CSV,5,equity,credit
share capital contribution reference 99376,409913.25,0,CSV,1,equity,credit
loan repayment liability reference 79274,374388.38,0,Bank,9,liability,credit
courier and postage expense reference 99487,481317.57,0,Manual,2,expense,debit
prepaid insurance reference 43583,339298.27,0,Bank,3,asset,debit
subscription revenue reference 51917,5162.62,0,Manual,4,revenue,credit
short term borrowing reference 24124,67150.84,0,CSV,9,liability,credit
purchase of office laptop reference 23893,16273.95,1,Bank,9,asset,debit
office furniture purchase reference 59492,248589.43,0,Manual,11,asset,debit
internet and telecom bill reference 17298,233412.72,0,PDF,4,expense,debit
short term borrowing reference 58115,228722.99,0,Excel,10,liability,credit
sales collection reference 55750,366293.4,0,Excel,3,revenue,credit
client payment for consulting services reference 59631,395124.09,0,Excel,12,revenue,credit
retained earnings transfer reference 46492,31307.62,0,Excel,6,equity,credit
vehicle purchase for business reference 50320,188602.79,0,PDF,9,asset,debit
equipment acquisition reference 92121,211766.59,0,Bank,2,asset,debit
customer invoice settlement reference 62238,188679.27,0,CSV,2,revenue,credit
vendor credit purchase reference 88576,360747.14,0,Excel,9,liability,credit
inventory purchase for stock reference 21177,205179.93,0,Manual,11,asset,debit
vehicle purchase for business reference 98860,326865.44,0,PDF,1,asset,debit
equipment acquisition reference 94681,135008.31,0,Excel,1,asset,debit
customer invoice settlement reference 52460,357073.41,0,CSV,5,revenue,credit
vendor credit purchase reference 73712,236226.1,0,CSV,9,liability,credit
Owner cash withdrawal for personal use,5603.62,0,Wire Transfer,1,equity,debit
"Electricity, water, and gas bills",126.95,0,Checking Account,1,expense,debit
Commercial property rental fee,4266.64,0,Credit Card,1,expense,debit
"Electricity, water, and gas bills",90.59,0,ACH Transfer,1,expense,debit
Repayment of principal on commercial loan,1411.62,0,Credit Card,1,liability,debit
Supermarket purchase (food/supplies),110.05,0,Credit Card,1,expense,debit
Interest charge on business debt/credit lines,658.24,0,Digital Wallet,1,expense,debit
Pharmacy prescription / Doctor copay,132.65,0,Digital Wallet,1,expense,debit
Owner cash withdrawal for personal use,1308.27,0,Checking Account,1,equity,debit
Monthly residential lease/mortgage payment,2697.33,0,ACH Transfer,1,expense,debit
Restaurant bill / food delivery,116.27,0,Credit Card,1,expense,debit
Pharmacy prescription / Doctor copay,43.43,0,Digital Wallet,1,expense,debit
Supermarket purchase (food/supplies),126.6,0,Digital Wallet,1,expense,debit
Repayment of principal on commercial loan,2380.8,0,Credit Card,1,liability,debit
"Gasoline, car insurance, or repairs",463.73,0,Credit Card,1,expense,debit
Owner cash withdrawal for personal use,5675.04,0,Wire Transfer,1,equity,debit
"Cloud infrastructure, accounting & CRM tools",35.22,0,Cash,1,expense,debit
Supermarket purchase (food/supplies),218.92,0,Digital Wallet,1,expense,debit
"Electricity, water, and gas bills",101.69,0,Credit Card,1,expense,debit
"Electricity, water, and gas bills",206.29,0,ACH Transfer,1,expense,debit
Client invoice generated for B2B services rendered,8750.25,0,Digital Wallet,1,revenue,credit
"Cloud infrastructure, accounting & CRM tools",635.43,0,Wire Transfer,1,expense,debit
Direct cash/card sales to customers,1071.36,0,Credit Card,1,revenue,credit
Repayment of principal on commercial loan,3406.99,0,Credit Card,1,liability,debit
Raw materials and inventory purchases,4481.63,0,Wire Transfer,1,expense,debit
Repayment of principal on commercial loan,2156.75,0,Checking Account,1,liability,debit
"Gasoline, car insurance, or repairs",236.76,0,Checking Account,1,expense,debit
Capital contributed by business owner/investor,21576.1,0,Digital Wallet,1,equity,credit
Restaurant bill / food delivery,42.38,0,Wire Transfer,1,expense,debit
Credit card balance payoff from checking account,1079.77,0,Digital Wallet,1,liability,debit
Commercial property rental fee,3568.89,0,Checking Account,1,expense,debit
Capital contributed by business owner/investor,38706.09,0,Checking Account,1,equity,credit
Raw materials and inventory purchases,1821.76,0,Cash,1,expense,debit
Interest charge on business debt/credit lines,749.7,0,Digital Wallet,1,expense,debit
Direct cash/card sales to customers,1536.42,0,Checking Account,1,revenue,credit
Pharmacy prescription / Doctor copay,193.73,0,Checking Account,1,expense,debit
"Purchase of machinery, computers, or office hardware",1138.88,0,Cash,1,asset,debit
Repayment of principal on commercial loan,1671.36,0,ACH Transfer,1,liability,debit
"Electricity, water, and gas bills",266.82,0,Digital Wallet,1,expense,debit
Credit card balance payoff from checking account,966.6,0,Credit Card,1,liability,debit
Monthly salary direct deposit,5924.72,0,ACH Transfer,1,revenue,credit
Supermarket purchase (food/supplies),71.02,0,Digital Wallet,1,expense,debit
Pharmacy prescription / Doctor copay,237.81,0,ACH Transfer,1,expense,debit
"Electricity, water, and gas bills",243.14,0,Credit Card,1,expense,debit
Restaurant bill / food delivery,63.22,0,Cash,1,expense,debit
Direct cash/card sales to customers,4114.31,0,Cash,1,revenue,credit
Stock dividend or savings interest payout,166.25,0,Credit Card,1,revenue,credit
"Purchase of machinery, computers, or office hardware",4560.34,0,Digital Wallet,1,asset,debit
Interest charge on business debt/credit lines,700.22,0,Wire Transfer,1,expense,debit
Restaurant bill / food delivery,83.82,0,Cash,1,expense,debit
Client invoice generated for B2B services rendered,6437.37,0,Cash,1,revenue,credit
"Gasoline, car insurance, or repairs",136.94,0,Digital Wallet,1,expense,debit
Supermarket purchase (food/supplies),57.06,0,Digital Wallet,1,expense,debit
Supermarket purchase (food/supplies),239.42,0,Credit Card,1,expense,debit
Pharmacy prescription / Doctor copay,285.67,0,ACH Transfer,1,expense,debit
Pharmacy prescription / Doctor copay,208.95,0,Digital Wallet,1,expense,debit
Owner cash withdrawal for personal use,6873.48,0,Checking Account,1,equity,debit
Repayment of principal on commercial loan,2352.38,0,Credit Card,1,liability,debit
Commercial property rental fee,4007.09,0,Checking Account,1,expense,debit
Supermarket purchase (food/supplies),103.92,0,ACH Transfer,1,expense,debit
"Employee salaries, benefits, and payroll taxes",11707.44,0,Cash,1,expense,debit
Supermarket purchase (food/supplies),68.78,0,Cash,1,expense,debit
Direct cash/card sales to customers,190.31,0,Wire Transfer,1,revenue,credit
Monthly salary direct deposit,4368.24,0,Digital Wallet,1,revenue,credit
Pharmacy prescription / Doctor copay,245.24,0,Cash,1,expense,debit
Restaurant bill / food delivery,31.14,0,Cash,1,expense,debit
"Purchase of machinery, computers, or office hardware",6759.13,0,Digital Wallet,1,asset,debit
Owner cash withdrawal for personal use,2608.37,0,Digital Wallet,1,equity,debit
"Electricity, water, and gas bills",287.3,0,Checking Account,1,expense,debit
"Cloud infrastructure, accounting & CRM tools",345.77,0,Digital Wallet,1,expense,debit
Restaurant bill / food delivery,51.99,0,Cash,1,expense,debit
"Gasoline, car insurance, or repairs",435.46,0,Checking Account,1,expense,debit
Monthly salary direct deposit,3356.95,0,ACH Transfer,1,revenue,credit
"Electricity, water, and gas bills",277.31,0,ACH Transfer,1,expense,debit
Pharmacy prescription / Doctor copay,175.68,0,ACH Transfer,1,expense,debit
Monthly residential lease/mortgage payment,2190.27,0,Cash,1,expense,debit
"Purchase of machinery, computers, or office hardware",4779.29,0,Checking Account,1,asset,debit
Capital contributed by business owner/investor,48753.06,0,Digital Wallet,1,equity,credit
